PID,A_AREA,A_SQ1,A_SQ2,A_AGE,A_SQ3,A_Q1,A_Q2,A_Q2_1,A_Q2_2,A_Q3,A_Q4,A_Q5,A_Q6,A_GUBUN,WT1
3310006,10,10,2,63,6,1,1,1.0,,2,1,6,98,2,1.0
3406004,11,11,2,47,4,1,3,,,3,1,4,98,2,1.01
3407020,11,11,1,53,5,1,2,,1.0,1,3,5,3,2,1.0
3503015,12,12,1,35,3,1,3,,,2,3,2,4,2,0.99
3503020,12,12,1,35,3,2,3,,,3,3,3,3,2,0.99
3504003,12,12,2,35,3,2,9,,,9,3,6,1,2,1.0
3505005,12,12,1,40,4,1,1,4.0,,2,1,5,98,2,0.99
3505009,12,12,1,49,4,1,3,,,3,1,5,1,1,0.99
3509026,12,12,1,60,6,1,2,,3.0,3,3,2,1,2,0.92
3601013,13,13,1,23,2,1,9,,,3,3,7,98,2,1.0
3604001,13,13,2,36,3,1,1,4.0,,3,1,6,1,2,1.0
3607011,13,13,1,55,5,1,3,,,3,1,4,98,1,1.02
3607019,13,13,1,51,5,1,3,,,3,3,8,98,2,1.02
3608001,13,13,2,51,5,1,2,,4.0,3,1,6,1,2,1.0
3610009,13,13,2,61,6,2,3,,,2,3,3,1,2,1.03
3704006,14,14,2,35,3,2,1,5.0,,2,3,5,2,2,0.98
3706005,14,14,2,43,4,1,2,,2.0,2,1,5,1,1,1.0
3707015,14,14,1,52,5,1,1,2.0,,3,1,2,1,1,1.0
3801007,15,15,1,25,2,1,1,4.0,,3,3,7,98,2,1.0
3804007,15,15,2,36,3,1,1,2.0,,2,3,5,98,2,1.0
3805018,15,15,1,44,4,1,1,5.0,,9,1,1,98,2,1.0
3807005,15,15,1,57,5,1,9,,,3,1,2,98,2,1.0
1101012,1,1,1,27,2,1,2,,2.0,3,1,7,3,2,1.0
1101040,1,1,1,20,2,2,9,,,2,3,7,98,2,1.0
1102067,1,1,2,23,2,1,2,,4.0,2,3,7,1,2,1.0
1103002,1,1,1,37,3,1,2,,2.0,3,1,5,1,2,1.0
1103017,1,1,1,39,3,1,2,,4.0,3,1,3,98,2,1.0
1103033,1,1,1,35,3,1,2,,2.0,2,1,5,1,1,1.0
1103048,1,1,1,36,3,1,2,,5.0,3,3,2,4,2,1.0
1103064,1,1,1,38,3,1,1,2.0,,3,3,5,1,2,1.0
1104011,1,1,2,30,3,1,2,,2.0,1,1,5,1,2,0.99
1104012,1,1,2,32,3,1,3,,,2,1,8,98,2,0.99
1105007,1,1,1,42,4,1,2,,2.0,2,1,5,98,2,1.0
1105027,1,1,1,44,4,1,2,,2.0,9,1,2,1,2,1.0
1105036,1,1,1,40,4,1,1,4.0,,2,1,5,5,2,1.0
1105037,1,1,1,48,4,1,2,,4.0,3,1,5,1,2,1.0
1106019,1,1,2,45,4,1,2,,3.0,3,1,5,1,2,0.99
1106025,1,1,2,48,4,1,2,,4.0,1,3,6,98,2,0.99
1106058,1,1,2,45,4,1,1,3.0,,3,3,4,1,2,0.99
1106082,1,1,2,47,4,1,2,,4.0,1,3,6,98,2,0.99
1107005,1,1,1,57,5,1,2,,3.0,2,1,2,98,2,1.0
1107019,1,1,1,59,5,1,2,,2.0,1,1,5,98,2,1.0
1107035,1,1,1,59,5,1,2,,2.0,3,1,2,5,2,1.0
1107059,1,1,1,57,5,1,2,,1.0,2,3,4,2,2,1.0
1108001,1,1,2,51,5,2,1,1.0,,3,1,5,98,2,1.0
1108004,1,1,2,59,5,1,2,,2.0,1,1,6,2,2,1.0
1108005,1,1,2,58,5,1,1,3.0,,3,1,5,1,2,1.0
1108014,1,1,2,54,5,1,2,,3.0,1,1,6,1,2,1.0
1108051,1,1,2,51,5,1,3,,,1,3,5,98,2,1.0
1108061,1,1,2,50,5,1,2,,1.0,2,3,3,98,2,1.0
1108063,1,1,2,58,5,1,2,,4.0,3,3,6,98,2,1.0
1108071,1,1,2,57,5,1,2,,3.0,2,3,6,2,2,1.0
1109025,1,1,1,60,6,1,2,,3.0,3,1,4,98,2,0.97
1109045,1,1,1,63,6,1,2,,3.0,1,1,8,1,2,0.97
1109049,1,1,1,60,6,1,3,,,2,1,2,98,2,0.97
1109053,1,1,1,60,6,1,2,,2.0,1,1,5,98,2,0.97
1109059,1,1,1,60,6,1,2,,3.0,2,1,2,2,2,0.97
1109113,1,1,1,78,6,1,1,9.0,,2,3,8,2,2,0.97
1109146,1,1,1,62,6,1,2,,5.0,1,3,2,4,1,0.97
1110002,1,1,2,62,6,1,2,,4.0,2,1,3,1,2,1.02
1110006,1,1,2,65,6,1,2,,4.0,1,1,6,98,2,1.02
1110009,1,1,2,67,6,1,2,,2.0,1,1,3,2,2,1.02
1110013,1,1,2,65,6,1,2,,2.0,9,1,6,98,2,1.02
1110015,1,1,2,66,6,1,3,,,2,1,8,98,2,1.02
1110018,1,1,2,62,6,1,3,,,2,1,6,4,2,1.02
1110030,1,1,2,63,6,2,9,,,9,1,6,2,2,1.02
1110064,1,1,2,72,6,1,2,,4.0,2,3,8,2,2,1.02
1110068,1,1,2,60,6,1,2,,4.0,2,3,6,3,2,1.02
2102002,2,2,2,27,2,1,3,,,3,1,3,1,2,0.99
2103006,2,2,1,31,3,1,3,,,2,1,3,98,2,1.0
2104001,2,2,2,33,3,1,2,,1.0,3,1,5,1,2,1.0
2106008,2,2,2,47,4,1,3,,,2,3,6,98,2,1.0
2106016,2,2,2,45,4,1,3,,,3,3,6,98,2,1.0
2108004,2,2,2,59,5,1,2,,4.0,1,1,4,2,2,1.0
2108033,2,2,2,58,5,1,2,,2.0,2,3,3,2,2,1.0
2109015,2,2,1,75,6,1,2,,1.0,1,1,8,2,2,1.0
2109029,2,2,1,60,6,1,2,,4.0,2,3,8,98,2,1.0
2109066,2,2,1,72,6,1,2,,2.0,1,3,2,2,1,1.0
2110035,2,2,2,65,6,1,1,1.0,,3,3,6,2,1,1.01
2110042,2,2,2,69,6,1,3,,,2,3,6,4,1,1.01
2201022,3,3,1,24,2,1,2,,2.0,2,3,8,99,2,0.99
2204008,3,3,2,38,3,1,3,,,2,3,5,2,2,1.0
2205004,3,3,1,41,4,1,3,,,3,1,3,1,2,0.99
2205006,3,3,1,47,4,1,2,,3.0,3,1,2,3,2,0.99
2205009,3,3,1,47,4,1,2,,2.0,2,1,3,3,2,0.99
2206001,3,3,2,42,4,1,1,1.0,,3,1,6,98,2,1.02
2207004,3,3,1,57,5,1,2,,4.0,2,1,2,2,2,1.0
2208017,3,3,2,52,5,1,2,,2.0,1,3,4,98,2,0.99
2208022,3,3,2,58,5,1,3,,,3,3,6,4,1,0.99
2209009,3,3,1,60,6,1,2,,2.0,2,1,8,1,2,0.97
2209012,3,3,1,70,6,1,2,,2.0,2,1,8,98,1,0.97
2210004,3,3,2,62,6,1,2,,4.0,1,1,6,6,2,1.01
2210025,3,3,2,64,6,1,9,,,2,3,6,98,1,1.01
2210028,3,3,2,60,6,1,2,,3.0,2,3,2,98,2,1.01
2301003,4,4,1,27,2,1,3,,,3,1,5,1,2,1.0
2301008,4,4,1,25,2,2,2,,2.0,2,3,7,1,2,1.0
2303002,4,4,1,38,3,1,2,,3.0,3,1,2,1,2,1.0
2303005,4,4,1,31,3,2,2,,2.0,2,1,5,1,2,1.0
2303018,4,4,1,32,3,1,3,,,2,3,3,98,2,1.0
2305007,4,4,1,44,4,1,2,,4.0,3,1,5,98,2,1.0
2307010,4,4,1,56,5,1,2,,2.0,1,1,2,2,2,1.0
2308014,4,4,2,58,5,1,2,,4.0,2,3,6,98,2,0.99
2309013,4,4,1,66,6,1,2,,2.0,1,1,2,98,2,1.1
2310017,4,4,2,69,6,1,2,,3.0,2,3,6,2,1,1.09
2407016,5,5,1,54,5,1,2,,3.0,1,3,2,3,2,1.01
2409006,5,5,1,65,6,1,2,,4.0,3,1,8,1,2,1.01
2410015,5,5,2,63,6,1,3,,,3,3,6,1,1,1.0
2501001,6,6,1,24,2,1,2,,5.0,1,1,7,1,2,1.01
2502009,6,6,2,25,2,2,1,3.0,,3,3,3,98,2,1.0
2503010,6,6,1,30,3,2,1,1.0,,3,3,3,1,2,1.01
2504002,6,6,2,30,3,1,2,,4.0,2,1,4,98,2,0.99
2504003,6,6,2,37,3,1,9,,,1,1,5,1,2,0.99
2507001,6,6,1,54,5,1,2,,1.0,1,1,5,98,2,1.0
2507003,6,6,1,53,5,1,9,,,2,1,4,1,2,1.0
2507017,6,6,1,51,5,1,2,,2.0,2,3,5,1,1,1.0
2508002,6,6,2,50,5,1,2,,2.0,2,1,6,1,2,0.99
2508006,6,6,2,55,5,1,3,,,2,1,6,98,1,0.99
2510002,6,6,2,60,6,1,9,,,2,1,6,98,2,1.02
2510005,6,6,2,63,6,1,2,,3.0,3,1,6,4,2,1.02
2606010,7,7,2,45,4,2,2,,3.0,9,3,2,1,1,0.99
2608010,7,7,2,59,5,1,2,,1.0,1,3,6,2,1,0.94
2609004,7,7,1,62,6,1,2,,4.0,2,1,2,1,2,0.96
3101007,8,8,1,20,2,1,3,,,3,1,7,4,2,1.0
3101011,8,8,1,24,2,1,2,,2.0,1,1,3,98,2,1.0
3101017,8,8,1,24,2,1,2,,4.0,2,1,5,1,2,1.0
3101018,8,8,1,25,2,1,2,,2.0,1,1,7,2,2,1.0
