PID,A_AREA,A_SQ1,A_SQ2,A_AGE,A_SQ3,A_Q1,A_Q2,A_Q2_1,A_Q2_2,A_Q3,A_Q4,A_Q5,A_Q6,A_GUBUN,WT1
2108069,2,2,2,59,5,1,2,,1.0,2,2,5,1,2,1.0
2108070,2,2,2,57,5,1,2,,4.0,1,2,6,6,2,1.0
2108071,2,2,2,54,5,1,2,,2.0,2,2,2,3,2,1.0
2108072,2,2,2,58,5,1,3,,,3,3,6,1,2,1.0
2108073,2,2,2,51,5,1,3,,,3,2,3,1,2,1.0
2108074,2,2,2,53,5,1,3,,,1,2,6,99,2,1.0
2108075,2,2,2,54,5,1,3,,,2,2,3,1,2,1.0
2108076,2,2,2,50,5,1,1,1.0,,3,2,3,98,2,1.0
2108077,2,2,2,59,5,1,1,1.0,,3,2,6,3,2,1.0
2108078,2,2,2,51,5,1,1,1.0,,3,2,5,98,2,1.0
2108079,2,2,2,57,5,1,3,,,2,2,3,98,2,1.0
2108080,2,2,2,52,5,1,1,1.0,,3,3,2,1,2,1.0
2108081,2,2,2,53,5,2,3,,,1,2,2,99,2,1.0
2108082,2,2,2,59,5,1,2,,4.0,2,2,4,1,2,1.0
2108083,2,2,2,51,5,1,1,2.0,,2,2,2,99,2,1.0
2108084,2,2,2,51,5,1,2,,1.0,3,2,6,98,2,1.0
2108085,2,2,2,54,5,1,2,,4.0,1,2,2,98,2,1.0
2108086,2,2,2,54,5,1,3,,,2,2,5,98,2,1.0
2108087,2,2,2,52,5,1,9,,,3,2,6,1,2,1.0
2108088,2,2,2,52,5,1,2,,2.0,2,2,6,2,2,1.0
2108089,2,2,2,55,5,1,1,4.0,,3,2,6,98,2,1.0
2108090,2,2,2,56,5,1,2,,3.0,3,2,2,98,2,1.0
2108091,2,2,2,54,5,1,1,1.0,,3,2,3,1,2,1.0
2108092,2,2,2,56,5,1,9,,,2,2,2,2,2,1.0
2108093,2,2,2,52,5,1,2,,3.0,1,2,3,2,2,1.0
2108094,2,2,2,57,5,1,3,,,9,2,2,98,2,1.0
2108095,2,2,2,54,5,1,2,,4.0,2,2,6,98,2,1.0
2108096,2,2,2,52,5,1,1,2.0,,3,2,5,1,2,1.0
2108097,2,2,2,51,5,1,1,1.0,,3,2,6,1,2,1.0
2108098,2,2,2,56,5,2,9,,,9,2,6,99,2,1.0
2108099,2,2,2,57,5,1,1,2.0,,3,2,6,1,2,1.0
2108100,2,2,2,54,5,2,3,,,9,2,9,98,2,1.0
2108101,2,2,2,59,5,1,3,,,2,2,6,98,2,1.0
2108102,2,2,2,53,5,1,3,,,1,2,6,2,2,1.0
2108103,2,2,2,53,5,1,1,2.0,,3,2,5,98,2,1.0
2108104,2,2,2,52,5,1,9,,,2,2,6,98,2,1.0
2108105,2,2,2,50,5,2,3,,,2,2,6,98,2,1.0
2108106,2,2,2,57,5,1,1,1.0,,3,2,3,2,2,1.0
2108107,2,2,2,56,5,1,2,,3.0,3,2,6,1,2,1.0
2108108,2,2,2,56,5,1,2,,2.0,3,2,5,98,2,1.0
2108109,2,2,2,50,5,1,2,,1.0,2,2,6,2,2,1.0
2108110,2,2,2,54,5,1,2,,2.0,1,2,6,2,2,1.0
2108111,2,2,2,58,5,1,3,,,2,2,4,98,2,1.0
2108112,2,2,2,56,5,1,2,,1.0,9,2,4,1,2,1.0
2108113,2,2,2,56,5,1,1,1.0,,3,2,6,98,2,1.0
2108114,2,2,2,52,5,1,1,2.0,,3,2,5,1,2,1.0
2108115,2,2,2,56,5,1,9,,,9,2,6,1,2,1.0
2108116,2,2,2,57,5,1,1,9.0,,9,2,6,99,2,1.0
2108117,2,2,2,53,5,1,9,,,3,2,6,1,2,1.0
2108118,2,2,2,53,5,1,1,5.0,,2,2,2,98,2,1.0
2108119,2,2,2,54,5,1,1,1.0,,3,2,2,1,2,1.0
2108120,2,2,2,58,5,1,1,1.0,,3,2,6,1,2,1.0
2108121,2,2,2,57,5,1,2,,3.0,2,2,3,98,2,1.0
2108122,2,2,2,55,5,1,2,,2.0,1,2,2,2,2,1.0
2108123,2,2,2,57,5,2,9,,,9,2,6,98,2,1.0
2108124,2,2,2,51,5,1,3,,,9,2,3,2,2,1.0
2108125,2,2,2,59,5,1,3,,,2,2,5,98,2,1.0
2108126,2,2,2,58,5,1,1,1.0,,3,2,5,98,2,1.0
2108127,2,2,2,58,5,1,9,,,2,2,3,98,2,1.0
2108128,2,2,2,55,5,1,1,3.0,,9,2,5,98,2,1.0
2108129,2,2,2,52,5,1,3,,,3,2,3,1,2,1.0
2108130,2,2,2,54,5,1,1,9.0,,9,2,3,1,2,1.0
2108131,2,2,2,55,5,1,1,1.0,,1,2,6,99,2,1.0
2108132,2,2,2,52,5,1,2,,2.0,9,2,2,98,2,1.0
2108133,2,2,2,56,5,1,2,,3.0,2,2,2,3,2,1.0
2108134,2,2,2,55,5,1,2,,4.0,2,2,3,98,2,1.0
2108135,2,2,2,52,5,1,9,,,9,2,4,98,2,1.0
2108136,2,2,2,52,5,1,2,,3.0,1,2,2,3,1,1.0
2108137,2,2,2,50,5,2,9,,,9,2,6,99,1,1.0
2108138,2,2,2,59,5,1,2,,3.0,1,2,6,6,1,1.0
2108139,2,2,2,58,5,1,3,,,2,2,6,2,1,1.0
2108140,2,2,2,54,5,1,3,,,2,2,6,1,1,1.0
2108141,2,2,2,59,5,1,2,,2.0,2,2,2,1,1,1.0
2108142,2,2,2,53,5,1,2,,3.0,2,2,3,4,1,1.0
2108143,2,2,2,53,5,2,2,,2.0,2,2,2,98,1,1.0
2108144,2,2,2,56,5,1,2,,2.0,3,2,8,3,1,1.0
2108145,2,2,2,59,5,2,9,,,9,2,6,1,1,1.0
2108146,2,2,2,56,5,1,2,,2.0,2,2,6,98,1,1.0
2108147,2,2,2,58,5,1,1,1.0,,3,3,3,4,1,1.0
2109001,2,2,1,65,6,1,2,,2.0,3,1,2,98,2,1.0
2109002,2,2,1,60,6,1,2,,3.0,1,1,2,2,2,1.0
2109003,2,2,1,70,6,1,2,,3.0,3,1,8,1,2,1.0
2109004,2,2,1,67,6,1,2,,4.0,1,1,4,98,2,1.0
2109005,2,2,1,61,6,1,2,,3.0,2,1,8,98,2,1.0
2109006,2,2,1,67,6,1,1,4.0,,3,1,3,1,2,1.0
2109007,2,2,1,66,6,1,2,,3.0,2,1,2,2,2,1.0
2109008,2,2,1,76,6,1,1,4.0,,3,1,8,1,2,1.0
2109009,2,2,1,66,6,1,2,,2.0,1,1,8,1,2,1.0
2109010,2,2,1,69,6,1,2,,2.0,2,1,5,98,2,1.0
2109011,2,2,1,73,6,1,2,,2.0,1,1,8,98,2,1.0
2109012,2,2,1,62,6,1,1,4.0,,3,1,8,3,2,1.0
2109013,2,2,1,68,6,1,2,,3.0,1,1,8,2,2,1.0
2109014,2,2,1,70,6,1,2,,3.0,3,1,8,98,2,1.0
2109016,2,2,1,66,6,1,2,,4.0,3,1,8,98,2,1.0
2109017,2,2,1,65,6,1,2,,2.0,1,1,4,98,2,1.0
2109018,2,2,1,65,6,1,2,,2.0,1,1,8,98,2,1.0
2109019,2,2,1,68,6,1,1,1.0,,3,1,8,3,2,1.0
2109020,2,2,1,75,6,1,2,,1.0,2,1,4,1,2,1.0
2109021,2,2,1,60,6,1,1,3.0,,3,1,2,98,1,1.0
2109022,2,2,1,72,6,1,2,,3.0,2,1,2,2,1,1.0
2109023,2,2,1,64,6,1,2,,1.0,2,1,5,2,1,1.0
2109024,2,2,1,62,6,1,2,,2.0,2,1,2,98,1,1.0
2109025,2,2,1,62,6,1,2,,1.0,2,1,2,98,1,1.0
2109026,2,2,1,77,6,1,2,,2.0,1,1,8,1,1,1.0
2109027,2,2,1,64,6,1,2,,4.0,1,1,2,98,1,1.0
2109028,2,2,1,60,6,1,2,,4.0,1,1,4,1,1,1.0
2109030,2,2,1,60,6,1,9,,,9,3,2,1,2,1.0
2109031,2,2,1,66,6,1,2,,2.0,2,3,2,2,2,1.0
2109032,2,2,1,63,6,1,2,,4.0,2,3,8,98,2,1.0
2109033,2,2,1,70,6,1,2,,3.0,9,3,2,1,2,1.0
2109034,2,2,1,62,6,1,2,,3.0,2,3,8,98,2,1.0
2109035,2,2,1,76,6,1,2,,4.0,1,3,8,2,2,1.0
2109036,2,2,1,69,6,1,2,,3.0,3,3,2,1,2,1.0
2109037,2,2,1,60,6,1,2,,3.0,2,3,2,2,2,1.0
2109038,2,2,1,67,6,1,2,,5.0,2,3,8,3,2,1.0
2109039,2,2,1,63,6,1,2,,4.0,1,3,5,2,2,1.0
2109040,2,2,1,65,6,1,2,,3.0,3,3,2,98,2,1.0
2109041,2,2,1,71,6,1,2,,2.0,1,3,8,2,2,1.0
2109042,2,2,1,62,6,1,2,,9.0,9,3,4,99,2,1.0
2109043,2,2,1,65,6,1,2,,4.0,1,3,4,1,2,1.0
2109044,2,2,1,69,6,1,2,,2.0,2,3,8,98,2,1.0
2109045,2,2,1,62,6,1,1,2.0,,3,3,2,1,2,1.0
2109046,2,2,1,60,6,2,3,,,2,3,2,98,2,1.0
2109047,2,2,1,60,6,1,2,,2.0,2,3,5,98,2,1.0
2109048,2,2,1,60,6,1,2,,3.0,2,3,2,98,2,1.0
2109049,2,2,1,62,6,1,2,,4.0,2,3,2,2,2,1.0
2109050,2,2,1,66,6,1,2,,3.0,3,3,8,98,2,1.0
2109051,2,2,1,85,6,1,2,,3.0,9,3,2,2,2,1.0
2109052,2,2,1,63,6,1,3,,,3,3,2,1,2,1.0
2109053,2,2,1,70,6,1,2,,2.0,1,3,2,98,2,1.0
2109054,2,2,1,61,6,1,2,,2.0,2,3,4,1,2,1.0
2109055,2,2,1,63,6,1,2,,3.0,3,3,5,4,2,1.0
2109056,2,2,1,62,6,1,2,,2.0,2,3,8,98,2,1.0
2109057,2,2,1,71,6,1,2,,2.0,3,3,8,1,1,1.0
2109058,2,2,1,63,6,1,2,,2.0,9,3,2,2,1,1.0
2109059,2,2,1,76,6,1,2,,3.0,2,3,8,2,1,1.0
2109060,2,2,1,70,6,1,2,,3.0,2,3,4,4,1,1.0
2109061,2,2,1,66,6,1,3,,,2,3,3,1,1,1.0
2109062,2,2,1,63,6,1,1,4.0,,3,3,2,98,1,1.0
2109063,2,2,1,65,6,1,1,3.0,,3,3,8,1,1,1.0
2109064,2,2,1,70,6,1,2,,3.0,3,3,4,1,1,1.0
2109065,2,2,1,68,6,1,2,,3.0,2,3,4,2,1,1.0
2109067,2,2,1,67,6,1,1,3.0,,2,3,2,1,1,1.0
2109068,2,2,1,81,6,1,2,,4.0,3,3,8,4,1,1.0
2109069,2,2,1,67,6,1,1,1.0,,3,3,8,1,1,1.0
2109070,2,2,1,60,6,1,2,,3.0,1,3,1,98,1,1.0
2109071,2,2,1,77,6,1,2,,4.0,1,2,8,1,2,1.0
2109072,2,2,1,65,6,1,2,,4.0,2,2,2,98,2,1.0
2109073,2,2,1,64,6,1,2,,2.0,1,2,2,2,2,1.0
2109074,2,2,1,74,6,1,2,,3.0,3,2,3,2,2,1.0
2109075,2,2,1,65,6,1,1,1.0,,3,3,3,1,2,1.0
2109076,2,2,1,64,6,1,2,,3.0,2,3,8,1,2,1.0
2109077,2,2,1,62,6,1,2,,5.0,2,2,2,2,2,1.0
2109078,2,2,1,62,6,1,2,,2.0,2,3,4,99,2,1.0
2109079,2,2,1,78,6,1,2,,1.0,2,2,8,2,2,1.0
2109080,2,2,1,65,6,1,2,,4.0,2,2,8,98,2,1.0
2109081,2,2,1,60,6,1,2,,2.0,2,2,2,1,2,1.0
2109082,2,2,1,69,6,1,2,,2.0,1,2,2,2,2,1.0
2109083,2,2,1,63,6,1,2,,2.0,1,2,8,4,2,1.0
2109084,2,2,1,63,6,1,2,,3.0,1,2,8,2,2,1.0
2109085,2,2,1,66,6,1,2,,2.0,2,2,4,99,2,1.0
2109086,2,2,1,64,6,1,2,,3.0,3,2,8,2,2,1.0
2109087,2,2,1,77,6,1,2,,3.0,3,2,8,1,2,1.0
2109088,2,2,1,65,6,1,2,,4.0,1,3,8,98,2,1.0
2109089,2,2,1,60,6,1,1,3.0,,3,3,2,1,2,1.0
2109090,2,2,1,61,6,1,2,,4.0,1,2,4,98,2,1.0
2109091,2,2,1,66,6,1,2,,4.0,3,2,2,98,2,1.0
2109092,2,2,1,70,6,1,2,,2.0,2,2,2,2,2,1.0
2109093,2,2,1,69,6,1,1,5.0,,2,2,8,1,2,1.0
2109094,2,2,1,65,6,1,2,,3.0,2,2,8,4,2,1.0
2109095,2,2,1,62,6,1,2,,2.0,2,2,2,98,2,1.0
2109096,2,2,1,64,6,1,1,4.0,,3,2,5,98,2,1.0
2109097,2,2,1,60,6,1,9,,,2,2,4,98,2,1.0
2109098,2,2,1,62,6,1,2,,1.0,1,2,2,98,2,1.0
2109099,2,2,1,69,6,1,2,,5.0,1,2,8,98,2,1.0
2109100,2,2,1,71,6,1,2,,3.0,3,2,6,98,2,1.0
2109101,2,2,1,65,6,1,2,,1.0,2,2,9,98,2,1.0
2109102,2,2,1,60,6,1,2,,4.0,3,3,3,3,2,1.0
2109103,2,2,1,67,6,1,2,,1.0,3,2,2,98,2,1.0
2109104,2,2,1,62,6,1,2,,1.0,2,3,3,98,2,1.0
2109105,2,2,1,60,6,1,2,,1.0,2,2,5,98,2,1.0
2109106,2,2,1,65,6,1,2,,3.0,2,2,2,1,2,1.0
2109107,2,2,1,73,6,1,2,,2.0,1,2,4,98,2,1.0
2109108,2,2,1,67,6,1,2,,3.0,2,2,5,2,2,1.0
2109109,2,2,1,75,6,1,2,,4.0,1,2,3,2,2,1.0
2109110,2,2,1,70,6,1,2,,2.0,9,2,1,98,2,1.0
2109111,2,2,1,65,6,1,2,,2.0,3,2,2,2,2,1.0
2109112,2,2,1,64,6,1,2,,3.0,3,2,2,3,2,1.0
2109113,2,2,1,62,6,1,2,,3.0,2,2,3,4,2,1.0
2109114,2,2,1,74,6,1,2,,1.0,1,2,2,98,2,1.0
2109115,2,2,1,67,6,1,2,,5.0,1,2,5,2,2,1.0
2109116,2,2,1,67,6,1,2,,2.0,2,2,3,2,2,1.0
2109117,2,2,1,60,6,1,2,,1.0,2,2,5,98,2,1.0
2109118,2,2,1,66,6,1,2,,2.0,1,2,2,2,2,1.0
2109119,2,2,1,60,6,1,1,1.0,,3,2,2,1,2,1.0
2109120,2,2,1,65,6,1,3,,,3,2,8,98,2,1.0
2109121,2,2,1,63,6,1,3,,,2,2,8,1,2,1.0
2109122,2,2,1,66,6,1,1,1.0,,3,2,3,1,2,1.0
2109123,2,2,1,63,6,1,1,4.0,,3,2,4,2,2,1.0
2109124,2,2,1,79,6,1,1,2.0,,9,2,8,1,2,1.0
2109125,2,2,1,70,6,1,1,5.0,,3,2,4,99,2,1.0
2109126,2,2,1,71,6,1,2,,2.0,2,2,5,98,2,1.0
2109127,2,2,1,80,6,1,2,,2.0,1,2,1,98,2,1.0
2109128,2,2,1,65,6,1,2,,3.0,1,2,2,2,2,1.0
2109129,2,2,1,62,6,1,2,,4.0,1,2,2,2,2,1.0
2109130,2,2,1,60,6,1,2,,4.0,3,2,2,2,2,1.0
2109131,2,2,1,62,6,1,2,,3.0,1,2,4,1,2,1.0
2109132,2,2,1,70,6,1,2,,2.0,2,2,8,99,2,1.0
2109133,2,2,1,65,6,1,2,,2.0,2,2,2,98,2,1.0
2109134,2,2,1,71,6,1,2,,2.0,1,2,2,2,2,1.0
2109135,2,2,1,60,6,1,1,1.0,,3,2,2,2,2,1.0
2109136,2,2,1,61,6,1,2,,2.0,2,2,4,1,2,1.0
2109137,2,2,1,65,6,1,2,,1.0,2,3,1,98,2,1.0
2109138,2,2,1,85,6,1,2,,4.0,1,2,8,98,2,1.0
2109139,2,2,1,80,6,2,2,,4.0,9,2,8,99,2,1.0
2109140,2,2,1,64,6,1,1,1.0,,3,2,4,1,2,1.0
2109141,2,2,1,65,6,1,2,,2.0,1,2,8,2,2,1.0
2109142,2,2,1,66,6,1,2,,3.0,9,2,3,98,2,1.0
2109143,2,2,1,67,6,1,2,,4.0,3,2,2,2,2,1.0
2109144,2,2,1,66,6,1,1,3.0,,2,2,4,1,2,1.0
2109145,2,2,1,61,6,1,2,,1.0,2,2,2,98,2,1.0
2109146,2,2,1,80,6,1,9,,,9,2,8,98,2,1.0
2109147,2,2,1,68,6,1,2,,2.0,2,2,8,98,2,1.0
2109148,2,2,1,75,6,1,2,,2.0,1,2,1,2,2,1.0
2109149,2,2,1,62,6,1,1,5.0,,2,2,2,1,2,1.0
2109150,2,2,1,61,6,1,2,,2.0,2,2,2,98,1,1.0
2109151,2,2,1,60,6,1,2,,4.0,1,3,8,98,1,1.0
2109152,2,2,1,62,6,1,2,,3.0,2,2,5,99,1,1.0
2109153,2,2,1,61,6,1,1,1.0,,3,2,2,98,1,1.0
2109154,2,2,1,65,6,1,2,,3.0,2,2,2,2,1,1.0
2109155,2,2,1,70,6,1,2,,2.0,2,2,2,98,1,1.0
2109156,2,2,1,65,6,1,2,,2.0,2,2,8,2,1,1.0
2109157,2,2,1,71,6,1,2,,1.0,2,2,8,4,1,1.0
2109158,2,2,1,62,6,1,2,,3.0,3,3,2,4,1,1.0
2109159,2,2,1,77,6,1,2,,3.0,1,2,8,2,1,1.0
2109160,2,2,1,74,6,1,2,,4.0,2,2,8,98,1,1.0
2109161,2,2,1,60,6,1,2,,2.0,2,3,2,1,1,1.0
2109162,2,2,1,79,6,1,3,,,2,2,8,98,1,1.0
2109163,2,2,1,72,6,1,1,2.0,,3,2,8,98,1,1.0
2109164,2,2,1,64,6,1,2,,1.0,1,2,2,1,1,1.0
2109165,2,2,1,70,6,1,2,,2.0,1,1,3,98,1,1.0
2109166,2,2,1,68,6,1,3,,,2,2,8,98,1,1.0
2109167,2,2,1,60,6,1,9,,,3,2,8,98,1,1.0
2109168,2,2,1,78,6,2,2,,9.0,1,3,8,99,1,1.0
2109169,2,2,1,76,6,1,2,,4.0,2,2,8,2,1,1.0
2109170,2,2,1,78,6,1,2,,4.0,1,2,8,2,1,1.0
2109171,2,2,1,70,6,1,2,,2.0,2,2,8,2,1,1.0
2109172,2,2,1,68,6,1,1,2.0,,3,2,8,1,1,1.0
2109173,2,2,1,61,6,1,2,,4.0,1,3,2,2,1,1.0
2110001,2,2,2,68,6,1,2,,4.0,2,1,6,98,2,1.01
2110002,2,2,2,63,6,1,2,,3.0,2,1,6,1,2,1.01
2110003,2,2,2,60,6,1,1,4.0,,3,1,6,1,2,1.01
2110004,2,2,2,65,6,1,2,,1.0,9,1,6,98,2,1.01
2110005,2,2,2,80,6,1,2,,2.0,2,1,6,98,2,1.01
2110006,2,2,2,67,6,1,2,,2.0,2,1,6,98,1,1.01
2110007,2,2,2,63,6,1,1,1.0,,3,1,6,98,1,1.01
2110008,2,2,2,68,6,1,2,,2.0,2,1,6,1,1,1.01
2110009,2,2,2,61,6,2,1,4.0,,3,1,2,98,1,1.01
2110010,2,2,2,62,6,1,2,,2.0,1,1,6,1,1,1.01
2110011,2,2,2,80,6,1,1,2.0,,3,1,6,1,1,1.01
2110013,2,2,2,64,6,1,2,,3.0,1,3,6,4,2,1.01
2110014,2,2,2,65,6,2,9,,,9,3,1,98,2,1.01
2110015,2,2,2,75,6,1,3,,,9,3,2,1,2,1.01
2110016,2,2,2,61,6,1,2,,4.0,3,3,2,2,2,1.01
2110017,2,2,2,65,6,1,2,,2.0,2,3,6,98,2,1.01
2110018,2,2,2,65,6,1,1,3.0,,3,3,6,1,2,1.01
2110019,2,2,2,67,6,1,3,,,9,3,8,2,2,1.01
2110020,2,2,2,71,6,1,2,,3.0,1,3,6,2,2,1.01
2110021,2,2,2,65,6,1,9,,,3,3,6,1,2,1.01
2110022,2,2,2,70,6,1,2,,4.0,1,3,2,2,2,1.01
2110023,2,2,2,62,6,1,3,,,3,3,6,98,2,1.01
2110024,2,2,2,60,6,1,1,2.0,,3,3,6,98,2,1.01
2110025,2,2,2,60,6,1,3,,,9,3,2,1,2,1.01
2110026,2,2,2,67,6,1,2,,2.0,2,3,6,98,2,1.01
2110027,2,2,2,60,6,1,2,,3.0,1,3,6,98,2,1.01
2110028,2,2,2,63,6,1,2,,2.0,2,3,2,99,2,1.01
2110029,2,2,2,63,6,1,2,,3.0,2,3,3,2,2,1.01
2110030,2,2,2,66,6,1,3,,,2,3,6,1,2,1.01
2110031,2,2,2,60,6,1,2,,3.0,2,3,2,98,1,1.01
2110032,2,2,2,65,6,1,1,1.0,,3,3,6,1,1,1.01
2110033,2,2,2,67,6,1,9,,,9,3,6,2,1,1.01
2110034,2,2,2,62,6,1,9,,,9,3,6,1,1,1.01
2110036,2,2,2,84,6,1,1,2.0,,3,3,4,98,1,1.01
2110037,2,2,2,68,6,1,2,,4.0,2,3,6,4,1,1.01
2110038,2,2,2,60,6,2,1,1.0,,3,3,6,1,1,1.01
2110039,2,2,2,77,6,1,2,,2.0,1,3,6,98,1,1.01
2110040,2,2,2,65,6,1,2,,3.0,2,3,6,2,1,1.01
2110041,2,2,2,69,6,2,3,,,9,3,6,2,1,1.01
2110043,2,2,2,64,6,1,2,,4.0,3,3,6,1,1,1.01
2110044,2,2,2,66,6,1,2,,4.0,2,3,2,2,1,1.01
2110045,2,2,2,75,6,1,3,,,2,3,6,2,1,1.01
2110046,2,2,2,62,6,1,3,,,2,2,6,1,2,1.01
2110047,2,2,2,62,6,1,1,2.0,,3,2,6,2,2,1.01
2110048,2,2,2,65,6,1,1,1.0,,3,2,3,5,2,1.01
2110049,2,2,2,61,6,1,3,,,2,2,4,2,2,1.01
2110050,2,2,2,60,6,2,3,,,9,2,6,98,2,1.01
2110051,2,2,2,71,6,2,9,,,9,2,8,99,2,1.01
2110052,2,2,2,65,6,1,3,,,9,2,6,98,2,1.01
2110053,2,2,2,60,6,1,1,1.0,,3,2,2,98,2,1.01
2110054,2,2,2,78,6,1,2,,1.0,2,2,6,98,2,1.01
2110055,2,2,2,79,6,1,2,,4.0,9,2,6,98,2,1.01
2110056,2,2,2,62,6,1,2,,1.0,2,3,6,2,2,1.01
2110057,2,2,2,65,6,1,2,,2.0,2,3,4,99,2,1.01
2110058,2,2,2,73,6,2,3,,,9,2,4,98,2,1.01
2110059,2,2,2,61,6,1,2,,3.0,3,2,6,3,2,1.01
2110060,2,2,2,70,6,1,3,,,9,2,6,98,2,1.01
2110061,2,2,2,66,6,1,2,,3.0,9,2,6,2,2,1.01
2110062,2,2,2,62,6,1,2,,3.0,1,2,2,2,2,1.01
2110063,2,2,2,65,6,1,9,,,1,2,6,1,2,1.01
2110064,2,2,2,60,6,1,2,,2.0,1,2,8,98,2,1.01
2110065,2,2,2,68,6,2,9,,,9,2,6,98,2,1.01
2110066,2,2,2,70,6,1,2,,3.0,3,2,6,4,2,1.01
2110067,2,2,2,60,6,1,9,,,9,2,6,2,2,1.01
2110068,2,2,2,65,6,1,1,9.0,,9,2,6,98,2,1.01
2110069,2,2,2,69,6,1,3,,,3,2,6,98,2,1.01
2110070,2,2,2,71,6,1,2,,3.0,2,2,3,2,2,1.01
2110071,2,2,2,61,6,1,2,,2.0,9,2,3,98,2,1.01
2110072,2,2,2,61,6,1,2,,2.0,3,2,6,6,2,1.01
2110073,2,2,2,77,6,1,9,,,9,2,6,2,2,1.01
2110074,2,2,2,61,6,1,1,1.0,,3,2,6,1,2,1.01
2110075,2,2,2,61,6,1,3,,,2,2,2,1,2,1.01
2110076,2,2,2,70,6,1,9,,,1,2,4,99,2,1.01
2110077,2,2,2,65,6,1,3,,,9,2,6,4,2,1.01
2110078,2,2,2,62,6,1,3,,,1,3,3,1,2,1.01
2110079,2,2,2,69,6,1,1,1.0,,9,2,6,2,2,1.01
2110080,2,2,2,64,6,2,3,,,9,3,6,98,2,1.01
2110081,2,2,2,60,6,2,9,,,9,2,6,98,2,1.01
2110082,2,2,2,69,6,1,9,,,3,2,6,98,2,1.01
2110083,2,2,2,64,6,1,2,,3.0,2,2,6,98,2,1.01
2110084,2,2,2,83,6,2,9,,,9,2,6,1,2,1.01
2110085,2,2,2,63,6,1,2,,1.0,2,2,2,4,2,1.01
2110086,2,2,2,69,6,1,9,,,9,2,8,98,2,1.01
2110087,2,2,2,70,6,1,2,,4.0,2,2,4,2,2,1.01
2110088,2,2,2,67,6,1,3,,,2,2,6,98,2,1.01
2110089,2,2,2,63,6,2,3,,,2,2,4,98,2,1.01
2110090,2,2,2,69,6,1,2,,1.0,9,2,6,2,2,1.01
2110091,2,2,2,68,6,1,9,,,9,2,6,98,2,1.01
2110092,2,2,2,64,6,1,1,1.0,,2,2,2,1,2,1.01
2110093,2,2,2,70,6,1,3,,,9,2,6,98,2,1.01
2110094,2,2,2,61,6,2,9,,,2,2,6,98,2,1.01
2110095,2,2,2,70,6,2,9,,,9,2,6,98,2,1.01
2110096,2,2,2,70,6,1,2,,2.0,1,2,6,1,2,1.01
2110097,2,2,2,81,6,2,3,,,1,2,8,99,2,1.01
2110098,2,2,2,72,6,1,2,,3.0,3,2,6,98,2,1.01
2110099,2,2,2,70,6,1,9,,,1,2,6,99,2,1.01
2110100,2,2,2,70,6,2,9,,,2,2,3,1,2,1.01
2110101,2,2,2,61,6,2,9,,,2,2,6,98,2,1.01
2110102,2,2,2,61,6,1,2,,1.0,9,2,6,2,2,1.01
2110103,2,2,2,65,6,1,1,1.0,,2,2,6,4,2,1.01
2110104,2,2,2,61,6,1,3,,,3,2,6,1,2,1.01
2110105,2,2,2,74,6,2,2,,3.0,1,2,6,2,2,1.01
2110106,2,2,2,65,6,1,1,2.0,,3,2,6,1,2,1.01
2110107,2,2,2,64,6,1,2,,4.0,2,2,6,98,2,1.01
2110108,2,2,2,70,6,1,1,4.0,,9,2,6,98,2,1.01
2110109,2,2,2,60,6,1,2,,4.0,1,2,6,2,2,1.01
2110110,2,2,2,61,6,1,3,,,2,2,5,1,2,1.01
2110111,2,2,2,61,6,1,1,4.0,,3,2,5,1,2,1.01
2110112,2,2,2,65,6,2,2,,9.0,9,2,3,2,2,1.01
2110113,2,2,2,68,6,2,9,,,9,2,6,98,2,1.01
2110114,2,2,2,60,6,1,2,,2.0,2,2,6,2,2,1.01
2110115,2,2,2,61,6,1,9,,,9,2,6,98,2,1.01
2110116,2,2,2,64,6,1,1,1.0,,3,3,6,98,2,1.01
2110117,2,2,2,68,6,2,9,,,9,2,6,1,2,1.01
2110118,2,2,2,65,6,1,2,,1.0,2,2,3,2,2,1.01
2110119,2,2,2,63,6,1,2,,2.0,9,2,6,1,2,1.01
2110120,2,2,2,76,6,2,9,,,9,1,6,98,2,1.01
2110121,2,2,2,63,6,1,1,1.0,,9,2,6,4,2,1.01
2110122,2,2,2,66,6,1,1,1.0,,9,2,6,1,2,1.01
2110123,2,2,2,68,6,1,3,,,2,2,6,98,2,1.01
2110124,2,2,2,68,6,2,9,,,9,2,8,1,2,1.01
2110125,2,2,2,65,6,1,2,,2.0,2,2,6,2,2,1.01
2110126,2,2,2,69,6,1,2,,1.0,2,2,3,1,2,1.01
2110127,2,2,2,75,6,2,9,,,9,2,6,3,2,1.01
2110128,2,2,2,61,6,1,9,,,9,2,6,98,2,1.01
2110129,2,2,2,63,6,1,9,,,3,2,6,1,2,1.01
2110130,2,2,2,75,6,1,3,,,2,2,6,1,2,1.01
2110131,2,2,2,75,6,1,9,,,9,2,6,4,2,1.01
2110132,2,2,2,70,6,1,3,,,2,2,6,98,2,1.01
2110133,2,2,2,63,6,1,3,,,9,2,6,99,2,1.01
2110134,2,2,2,60,6,1,1,1.0,,3,2,6,98,2,1.01
2110135,2,2,2,70,6,1,2,,2.0,2,2,2,4,2,1.01
2110136,2,2,2,60,6,1,2,,3.0,1,2,5,98,2,1.01
2110137,2,2,2,63,6,1,9,,,9,2,6,99,2,1.01
